attempt_number,question_id,question_text,difficulty,weight,selection_count,unique_students,correct_count,wrong_count,accuracy_percent
1,cms5grpok002oellksg7usmpd,"Analisis sampah yang terdiri dari sisa makanan, plastik, dan bahan lain, lalu simpulkan mengapa sampah perlu dipisahkan sebelum diolah.",HIGH,7,23,23,23,0,100
1,cms5grl8d000oellkvsimfdwt,"Analisis penggunaan virus yang sudah dilemahkan dalam vaksin, lalu simpulkan mengapa virus tersebut dapat membantu mencegah penyakit.",HIGH,7,22,22,22,0,100
1,cms5grkh8000cellkhcs91udp,"Analisis penularan virus melalui percikan batuk atau bersin, lalu simpulkan cara yang tepat untuk mengurangi penularannya.",HIGH,7,18,18,18,0,100
1,cms5gro7y0020ellkcu82jdk7,"Analisis penggunaan bahan bakar fosil yang semakin banyak, lalu simpulkan dampaknya terhadap karbon dioksida di udara.",HIGH,7,18,18,17,1,94.44444444444444
1,cms5groes0023ellkl212y4t7,"Analisis daerah yang kehilangan banyak tumbuhan, lalu simpulkan pengaruhnya terhadap air yang masuk ke tanah dan air yang mengalir di permukaan.",HIGH,5,18,18,15,3,83.33333333333334
1,cms5grjxi0003ellk8iq399jc,"Analisis sifat virus yang dapat dikristalkan di luar sel tetapi berkembang biak di dalam sel hidup, lalu simpulkan sifat virus tersebut.",HIGH,5,17,17,13,4,76.47058823529412
1,cms5grlf7000rellk3c5znwvj,"Analisis beberapa jenis mangga yang masih termasuk satu spesies, lalu simpulkan tingkat keanekaragaman yang terjadi.",HIGH,5,17,17,6,11,35.294117647058826
1,cms5groy0002cellkjc3zmjxy,"Analisis penggunaan kendaraan bermotor dan bahan yang menghasilkan CFC, lalu simpulkan dampaknya terhadap udara dan atmosfer.",HIGH,7,17,17,17,0,100
1,cms5grknw000fellk00nls073,"Analisis beberapa cara penularan HIV, lalu simpulkan kegiatan yang tidak dapat menularkan HIV.",HIGH,5,16,16,8,8,50
1,cms5grlzg0010ellkdj450mym,"Analisis keadaan hewan yang kehilangan tempat hidup karena hutan berubah menjadi permukiman, lalu simpulkan ancaman yang terjadi.",HIGH,7,16,16,14,2,87.5
1,cms5grmrz001cellkibs7wu53,"Analisis hewan yang tidak bertulang belakang, memiliki sayap, dan mulut menggigit, lalu simpulkan hewan yang sesuai.",HIGH,7,16,16,15,1,93.75
1,cms5grnj7001oellk6cek7m3g,"Analisis pohon pinus yang menghambat pertumbuhan tanaman lain di sekitarnya, lalu simpulkan jenis interaksi yang terjadi.",HIGH,7,16,16,6,10,37.5
1,cms5grpvv002rellkidjj8r0k,"Analisis musim kering yang berlangsung semakin lama, lalu simpulkan dampaknya terhadap air dan makhluk hidup.",HIGH,5,16,16,16,0,100
1,cms5grp4o002fellkp7ydi6xb,"Analisis jumlah gas rumah kaca yang semakin meningkat, lalu simpulkan dampaknya terhadap suhu bumi.",HIGH,5,15,15,15,0,100
